Gene	TCGA_Gene	GeneSort_1080pairedSamples	Cluster_1080pairedSamples	SubCluster_1080pairedSamples	GeneSort_540preSamples	Cluster_540preSamples	Subcluster_540preSamples	Gene-Label
JMJD1C	JMJD1C	293	4_NormalBreast	4_NormalBreast	107	1	2	
MT1X	MT1X	294	4_NormalBreast	4_NormalBreast	143	1	2	
MAP1B	MAP1B	295	4_NormalBreast	4_NormalBreast	141	1	2	
SFRP1	SFRP1	296	4_NormalBreast	4_NormalBreast	145	1	2	Basal
SPRY2	SPRY2	297	4_NormalBreast	4_NormalBreast	146	1	2	Basal
FOXC1	FOXC1	298	4_NormalBreast	4_NormalBreast	150	1	2	Basal
JUND	JUND	299	4_NormalBreast	4_NormalBreast	149	1	2	Tissue handling (surgery vs biopsy)
KLF4	KLF4	300	4_NormalBreast	4_NormalBreast	151	1	2	Tissue handling (surgery vs biopsy)
THBS4	THBS4	301	4_NormalBreast	4_NormalBreast	76	1	2	
FABP4	FABP4	302	4_NormalBreast	4_NormalBreast	71	1	2	Adipocytes
LPL	LPL	303	4_NormalBreast	4_NormalBreast	69	1	2	Adipocytes
SMAD9	SMAD9	304	4_NormalBreast	4_NormalBreast	81	1	2	Normal breast tissue
LEPR	LEPR	305	4_NormalBreast	4_NormalBreast	82	1	2	Normal breast tissue
SLIT2	SLIT2	306	4_NormalBreast	4_NormalBreast	83	1	2	Normal breast tissue
ANGPTL1	ANGPTL1	307	4_NormalBreast	4_NormalBreast	1	1	1	Normal breast tissue
FGF2	FGF2	308	4_NormalBreast	4_NormalBreast	6	1	1	Normal breast tissue
IL33	IL33	309	4_NormalBreast	4_NormalBreast	35	1	1	Normal breast tissue
ACKR1	DARC	310	4_NormalBreast	4_NormalBreast	74	1	2	Normal breast tissue
CCL14	CCL14	311	4_NormalBreast	4_NormalBreast	75	1	2	Normal breast tissue
TSPAN7	TSPAN7	312	4_NormalBreast	4_NormalBreast	36	1	1	Normal breast tissue
AQP1	AQP1	313	4_NormalBreast	4_NormalBreast	72	1	2	Normal breast tissue
CD34	CD34	314	4_NormalBreast	4_NormalBreast	32	1	1	Normal breast tissue
IGFBP6	IGFBP6	315	4_NormalBreast	4_NormalBreast	144	1	2	Normal breast tissue
TNXB	TNXB	316	4_NormalBreast	4_NormalBreast	77	1	2	Normal breast tissue
CAV1	CAV1	317	4_NormalBreast	4_NormalBreast	56	1	2	Normal breast tissue
HSPB6	HSPB6	318	4_NormalBreast	4_NormalBreast	79	1	2	Normal breast tissue
TXNIP	TXNIP	319	4_NormalBreast	4_NormalBreast	34	1	1	Normal breast tissue
GSN	GSN	320	4_NormalBreast	4_NormalBreast	68	1	2	Normal breast tissue
TGFBR2	TGFBR2	321	4_NormalBreast	4_NormalBreast	105	1	2	
KRT17	KRT17	322	4_NormalBreast	4_NormalBreast	118	1	2	Basal
KRT14	KRT14	323	4_NormalBreast	4_NormalBreast	119	1	2	Basal
KRT5	KRT5	324	4_NormalBreast	4_NormalBreast	120	1	2	Basal
DES	DES	325	4_NormalBreast	4_NormalBreast	163	1	2	
COL6A6	COL6A6	326	4_NormalBreast	4_NormalBreast	160	1	2	Normal breast tissue
RELN	RELN	327	4_NormalBreast	4_NormalBreast	161	1	2	Normal breast tissue
FIGF	FIGF	328	4_NormalBreast	4_NormalBreast	158	1	2	Normal breast tissue
HIF3A	HIF3A	329	4_NormalBreast	4_NormalBreast	159	1	2	Normal breast tissue
TMPRSS2	TMPRSS2	330	4_NormalBreast	4_NormalBreast	156	1	2	Normal breast tissue
TPO	TPO	331	4_NormalBreast	4_NormalBreast	164	1	2	Normal breast tissue
MAML2	MAML2	332	4_NormalBreast	4_NormalBreast	154	1	2	Normal breast tissue
TEK	TEK	333	4_NormalBreast	4_NormalBreast	33	1	1	Basal
KIT	KIT	334	4_NormalBreast	4_NormalBreast	155	1	2	Basal
TCF7L1	TCF7L1	335	4_NormalBreast	4_NormalBreast	152	1	2	Basal
